Retailer,Title,Product,Price,Available,SKU,Website
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"23,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS1C1518YHID,https://www.agjeans.com/alexxis-VBS1C1518YHID.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS1753HYBD,https://www.agjeans.com/isabelle-VBS1753HYBD.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",DSDN1979MHVGPK,https://www.agjeans.com/alexxis-DSDN1979MHVGPK.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",NBD1B11JTBOSS,https://www.agjeans.com/alexxis-short-NBD1B11JTBOSS.html
agjeans,Alexxis,VINTAGE STRAIGHT,"24,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",JRN1676BT13YPDG,https://www.agjeans.com/phoebe-JRN1676BT13YPDG.html
agjeans,Prima,CIGARETTE LEG,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",SGD1B53CHTN,https://www.agjeans.com/renn-extended-SGD1B53CHTN.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",HRD1714RH23YCUL,https://www.agjeans.com/hailey-cut-off-short-HRD1714RH23YCUL.html
agjeans,Alexxis,VINTAGE STRAIGHT,"20,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",NBD1D18SHEUDN,https://www.agjeans.com/renn-short-NBD1D18SHEUDN.html
agjeans,Prima,CIGARETTE LEG,"20,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",SSW1389RHSLMAID,https://www.agjeans.com/legging-ankle-SSW1389RHSLMAID.html
agjeans,Kinsley,HIGH-RISE FLARED CROP,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",HRD1B82DWTW,https://www.agjeans.com/paperbag-renn-HRD1B82DWTW.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",DBD1379IDTT,https://www.agjeans.com/farrah-skinny-DBD1379IDTT.html
agjeans,Alexxis Slim,VINTAGE SLIM,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP1777TE23YSWZ,https://www.agjeans.com/farrah-skinny-ankle-EMP1777TE23YSWZ.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"21,400.00","['23', '24', '25', '26', '27']",HRD1915RH23YCUL,https://www.agjeans.com/becke-short-HRD1915RH23YCUL.html
agjeans,Alexxis,VINTAGE STRAIGHT,"21,400.00","['XS', 'S', 'M', 'L']",LGN4471CLIC,https://www.agjeans.com/mirah-cropped-trucker-jacket-LGN4471CLIC.html
agjeans,Alexxis Slim,VINTAGE SLIM,"22,400.00","['XS', 'S', 'M', 'L']",HRD6233DWTW,https://www.agjeans.com/ryleigh-jumpsuit-HRD6233DWTW.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['XS', 'S', 'M', 'L']",TEK71088VICT,https://www.agjeans.com/finley-shirt-TEK71088VICT.html
agjeans,Ezzra,TRUE BOYFRIEND,"21,900.00","['XS', 'S', 'M', 'L']",SGD4179EBFMEB,https://www.agjeans.com/mya-jacket-SGD4179EBFMEB.html
agjeans,Deven,HIGH-RISE ULTRA WIDE LEG,"23,400.00","['23', '24', '25', '26', '27', '29', '30', '32']",AHD1875MTRO,https://www.agjeans.com/mari-AHD1875MTRO.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"24,400.00","['27', '28', '29', '31', '32']",LGN1575JSDC,https://www.agjeans.com/ex-boyfriend-slim-LGN1575JSDC.html
agjeans,Prima Crop,CIGARETTE LEG,"22,400.00","['24', '27', '28', '29', '30', '31', '32']",LCN1434PLLN,https://www.agjeans.com/prima-LCN1434PLLN.html
agjeans,Saige,HIGH-RISE STRAIGHT,"21,400.00","['24', '27', '28', '29', '30', '31', '32']",SGD1D18SHSPST,https://www.agjeans.com/renn-short-SGD1D18SHSPST.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '26']",RAS1B33MITO,https://www.agjeans.com/mari-extended-RAS1B33MITO.html
agjeans,Ezzra,TRUE BOYFRIEND,"22,400.00","['23', '24', '26', '27', '28', '29', '30', '31', '32']",HRD1979BOST,https://www.agjeans.com/alexxis-HRD1979BOST.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"21,400.00","['24', '27', '28', '29', '30', '32']",EMP1434PAZA,https://www.agjeans.com/prima-EMP1434PAZA.html
