Retailer,Title,Product,Price,SKU,Website
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",CWS1777NPAV,/farrah-skinny-ankle-CWS1777NPAV.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",RAS1855BT17YDAY,/prima-ankle-RAS1855BT17YDAY.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",RAS1777BTFILL,/farrah-ankle-RAS1777BTFILL.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹24,300.00",LOS1855PAVE,/prima-ankle-LOS1855PAVE.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹19,800.00",EMP187517YCWT,/mari-EMP187517YCWT.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹23,300.00",RAS138915YCIG,/legging-ankle-RAS138915YCIG.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹19,800.00",EMP138915YMUL,/legging-ankle-EMP138915YMUL.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹21,300.00",LCN1B32PERS,/farrah-ankle-seamless-LCN1B32PERS.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹21,300.00",DAS157516YHUD,/ex-boyfriend-slim-DAS157516YHUD.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹22,300.00",DSD1434WHT,/prima-DSD1434WHT.html
agjeans,Ezzra,TRUE BOYFRIEND,"₹21,800.00",EMP172922YYLL,/mila-EMP172922YYLL.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹24,300.00",EMP1389GTWN,/legging-ankle-EMP1389GTWN.html
agjeans,Deven,HIGH-RISE ULTRA WIDE LEG,"₹23,300.00",CWS143406YRSS,/prima-CWS143406YRSS.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",EMP138922YYLL,/legging-ankle-EMP138922YYLL.html
agjeans,Prima Crop,CIGARETTE LEG,"₹22,300.00",EMP1729MOOCNP,/mila-EMP1729MOOCNP.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",EMP1389PAZA,/legging-ankle-EMP1389PAZA.html
agjeans,Alexxis Boot,VINTAGE BOOT,"₹22,300.00",EMP1729BBLL,/mila-EMP1729BBLL.html
agjeans,Legging Ankle,SUPER SKINNY ANKLE,"₹22,300.00",DSD157501YTWT,/ex-boyfriend-slim-DSD157501YTWT.html
agjeans,Mari Crop,HIGH-RISE SLIM STRAIGHT,"₹20,800.00",VBS1C14EHVECB,/clove-VBS1C14EHVECB.html
agjeans,Nikki Short,RELAXED SKINNY SHORT,"₹16,700.00",EMP187522YYLL,/mari-EMP187522YYLL.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,800.00",HSI138905YOXN,/legging-ankle-HSI138905YOXN.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",RAS1777BT17YDAY,/farrah-ankle-RAS1777BT17YDAY.html
agjeans,Mari,HIGH-RISE SLIM STRAIGHT,"₹21,300.00",CWS1389NPAV,/legging-ankle-CWS1389NPAV.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",EMP137923YSWZ,/farrah-skinny-EMP137923YSWZ.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",RAS1777ATTC,/farrah-skinny-ankle-RAS1777ATTC.html
agjeans,Sloane Short,VINTAGE BOYFRIEND SHORT,"₹17,700.00",VBS197914YMEN,/alexxis-VBS197914YMEN.html
agjeans,Ezzra,TRUE BOYFRIEND,"₹22,300.00",RLS1389ANTC,/legging-ankle-RLS1389ANTC.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",DSDB4540BBRD,/kendrix-jacket-DSDB4540BBRD.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹21,300.00",STS1662RHHLLY,/jodi-crop-STS1662RHHLLY.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",HSI177705YOXN,/farrah-skinny-ankle-HSI177705YOXN.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹19,800.00",SGD4471RPBC,/mirah-jacket-SGD4471RPBC.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹19,800.00",EMP177722YYLL,/farrah-skinny-ankle-EMP177722YYLL.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",HYI148902YPES,/hailey-roll-up-short-HYI148902YPES.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"₹19,600.00",HAS1B80CYSO,/renn-utility-HAS1B80CYSO.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",LED1604VN20YHOP,/nikki-short-LED1604VN20YHOP.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",AHD1389MTRO,/legging-ankle-AHD1389MTRO.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",DAS1575CUDRHM,/ex-boyfriend-slim-DAS1575CUDRHM.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",DSDN1B95LFAW,/mari-DSDN1B95LFAW.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹24,300.00",DBD4179LMSBA,/mya-jacket-DBD4179LMSBA.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹19,800.00",PSI1379OPUB,/farrah-skinny-PSI1379OPUB.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹23,300.00",STS1575HLLY,/ex-boyfriend-slim-STS1575HLLY.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹19,800.00",VBS1B7614YMEN,/alexxis-slim-VBS1B7614YMEN.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹21,300.00",AHD1379MTRO,/farrah-skinny-AHD1379MTRO.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹21,300.00",RAS1389ATTC,/legging-ankle-RAS1389ATTC.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹22,300.00",RAS1389BT17YDAY,/legging-ankle-RAS1389BT17YDAY.html
agjeans,Ezzra,TRUE BOYFRIEND,"₹21,800.00",PSI1B33OPUB,/mari-extended-PSI1B33OPUB.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹24,300.00",EMP177715YMUL,/farrah-skinny-ankle-EMP177715YMUL.html
